V1,V2,V3
59.5956157912701,-17.8181540948815,673.255025941433
64.0919068645481,-18.9596112787041,743.32767803074
68.6396835114596,-20.0740859175481,790.934537419498
73.2516536114375,-21.1657532242607,839.07941001264
77.9361259459667,-22.2437213037233,887.869937731366
82.6982338894972,-23.2881093340715,937.373755398653
87.7403354676274,-24.4032522630352,1035.26809341057
92.8752489417944,-25.5090955732841,1089.19937405807
98.1029555756905,-26.6185352694581,1144.01054745917
103.416996047628,-27.7292898430277,1199.63180618451
108.815439467108,-28.8223006694134,1256.04636456408
114.477627713488,-29.9813274279809,1391.14890395358
120.280928118251,-31.1859358054875,1452.48107990805
126.215288546146,-32.3965502872125,1515.13267997044
132.272791268299,-33.6450414718953,1579.00712736833
138.449729641117,-34.8919570730042,1644.06009146413
145.086356067496,-36.2035118605547,1837.29850185782
151.843692540019,-37.5258513444358,1909.52031383269
158.718352326428,-17.617375960457,1982.86307698107
165.708330942621,16.8255873625819,2057.30490176116
172.812197015635,52.3995654749177,2132.83121792146
180.408868576218,89.4681180398964,2357.42045531568
188.128674817287,127.728149429163,2439.67911800753
195.968660506824,167.077814871876,2523.04583043598
203.926316606298,207.868019946738,2607.49267387822
211.999889864836,249.480682432394,2693.00172648266
220.531642349481,292.443840504527,2928.46600751979
229.184313811837,336.548898911087,3018.22269742178
237.956609223311,381.468080650394,3109.00042800726
246.847627929569,427.648738387998,3200.79327973563
255.856405419261,474.595753063366,3293.59427990896
265.442156490448,522.123870302498,3540.4797425501
275.111332735013,570.368751531194,3637.05372880456
284.867550353987,618.774513299933,3734.14748144954
294.71201989148,667.660276661203,3831.79382418481
304.644589976287,717.029679829874,3930.00591210788
315.40979628324,767.539306110747,4180.09629365726
326.275805300575,818.59129470824,4285.82065720606
337.24107120966,870.645931488475,4392.19303963144
348.30342187127,922.754496152678,4499.19917066108
359.461259270561,975.349518796214,4606.83175305953
371.532032065893,1028.63491693981,4856.24614185707
383.670616377611,1081.34387214227,4970.29260495206
395.878638397443,1134.66844782141,5084.57645182445
408.155385872355,1188.05459977129,5199.11177891612
420.498552681443,1241.4889261728,5313.89074331626
433.749566525671,1295.59068976671,5572.10467038482
447.072960228144,1349.72300219505,5692.21930628862
460.46528456115,1403.0856900901,5812.56024157548
473.923215207618,1456.3538460015,5933.10741492759
487.443143844603,1510.37176558711,6053.83668028651
501.869669322836,1564.74424681067,6315.64206358517
516.353643193841,1618.03407908717,6439.49296174908
530.882349902678,1671.89164805118,6563.26177303075
545.444879919865,1724.3720308933,6686.84187368719
560.031480447324,1777.3004783675,6810.14274671068
575.582742500437,1830.20040791298,7053.09998361915
591.151623078689,1881.41893225135,7180.0346535935
606.728675417285,1932.99370140632,7306.49658928421
622.307486112293,1982.69094474901,7432.44250302324
637.880686015837,2032.72069046734,7557.81749881119
654.403023202619,2081.6634154681,7768.17879023195
670.957212274967,2131.3834520792,7896.55308479488
687.527749907296,2179.2943027435,8024.62105599336
704.102970191264,2226.50636276582,8152.27303478736
720.672976396994,2274.28991788393,8279.42186419056
738.22644917832,2320.58284826734,8435.90018392644
755.762717821832,2367.38426743648,8566.34339287594
773.273631949956,2411.85856638943,8696.09459356047
790.75094590498,2455.33439055391,8825.09199884797
808.186318748676,2499.27757136412,8953.27316859776
826.53916186724,2541.01853442059,9071.18472038769
844.816887993362,2581.41838909224,9201.9546158793
863.026473586408,2620.58691804514,9331.69741316989
881.170712274451,2660.23566516287,9460.4751025178
899.249426903907,2697.14014256024,9588.3148149964
918.143888946665,2733.23074658494,9743.98203361776
936.979747050341,2768.28332383269,9874.4266391114
955.7419194703,2803.9681051923,10003.9074506428
974.424688112782,2836.75251720427,10132.3906313674
993.026941583787,2868.4012590548,10259.8896453326
1011.7352396779,2899.0166399561,10390.1915528769
1030.728193691,2931.00995974618,10517.5192565602
1050.00761003862,2960.60863503653,10645.8541954148
1069.57639395242,2989.6751142768,10775.2066173934
1089.43576811183,3020.17790288984,10905.5702023253
1109.58722159337,3048.16716040194,11031.687356605
1130.03638638932,3075.61803594265,11164.2722665518
1150.78993820077,3104.63219089899,11297.9556338852
1171.85391349598,3131.12233400841,11432.7790261941
1193.2318384635,3157.1322717306,11568.7592167689
1214.92908491551,3184.83800140716,11718.4767525254
1236.94789703328,3209.94901403939,11857.2352538636
1259.29043344594,3234.58535369062,11997.1977635259
