Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1831]=2.361347125
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1832]=2.353863299
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1833]=2.356959381
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1834]=2.412445466
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1835]=2.405456375
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1836]=2.404187956
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1837]=2.440210174
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1838]=2.477311746
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1839]=2.452638138
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1840]=2.443877522
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1841]=2.490489852
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1842]=2.449170469
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1843]=2.411136271
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1844]=2.443825896
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1845]=2.471371875
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1846]=2.471198742
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1847]=2.521115228
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1848]=2.5773718
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1849]=2.552394089
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1850]=2.571124479
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1851]=2.526692589
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1852]=2.50763416
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1853]=2.527811743
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1854]=2.610048543
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1855]=2.593264313
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1856]=2.573430007
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1857]=2.636452577
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1858]=2.660122642
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1859]=2.64820325
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1860]=2.648404731
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1861]=2.670268663
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1862]=2.648564983
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1863]=2.629269514
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1864]=2.667755634
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1865]=2.720201066
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1866]=2.710298337
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1867]=2.761022671
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1868]=2.825140562
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1869]=2.785004317
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1870]=2.831200782
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1871]=2.797830347
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1872]=2.771292694
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1873]=2.841633848
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1874]=2.86805891
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1875]=2.833489105
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1876]=2.843125267
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1877]=2.881579173
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1878]=2.905036494
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1879]=2.92925864
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1880]=2.921172062
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1881]=2.962877226
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1882]=2.944345851
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1883]=2.918084088
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1884]=2.97815874
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1885]=2.987658653
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1886]=3.000148376
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1887]=3.044590075
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1888]=3.123484052
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1889]=3.104668338
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1890]=3.159194949
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1891]=3.125180696
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1892]=3.110528365
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1893]=3.125430895
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1894]=3.205110618
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1895]=3.216163845
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1896]=3.170768747
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1897]=3.268702112
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1898]=3.296870259
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1899]=3.355831345
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1900]=3.361821037
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1901]=3.382952935
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1902]=3.38154147
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1903]=3.389386332
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1904]=3.4640583
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1905]=3.525334738
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1906]=3.54932448
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1907]=3.674457368
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1908]=3.67587664
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1909]=3.690048662
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1910]=3.767608107
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1911]=3.725917532
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1912]=3.709100468
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1913]=3.787939036
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1914]=3.764418792
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1915]=3.722337783
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1916]=3.744207069
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1917]=3.826396856
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1918]=3.83059738
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1919]=3.722641135
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1920]=3.813010121
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1921]=3.661222702
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1922]=3.658333723
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1923]=3.88124621
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1924]=3.774809016
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1925]=3.790606982
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1926]=3.724383638
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1927]=3.850357382
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1928]=3.828134932
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1929]=3.890215994
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1930]=3.907622806
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1931]=3.699193086
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1932]=3.701120519
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1933]=3.673991696
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1934]=3.817622407
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1935]=3.826763235
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1936]=3.972008023
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1937]=3.977215074
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1938]=3.879546431
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1939]=4.010820601
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1940]=4.026253626
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1941]=4.050294267
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1942]=4.114193284
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1943]=4.114085782
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1944]=4.111269896
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1945]=3.970406317
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1946]=3.971696435
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1947]=4.004289599
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1948]=4.123520873
Tue Mar 21 15:37:28 2023:DEBUG:setData: Setting BC_emissions[1949]=4.095746551
