year,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150,2155,2160,2165,2170,2175,2180,2185,2190,2195,2200,2205,2210,2215,2220,2225,2230,2235,2240,2245,2250,2255,2260,2265,2270,2275,2280,2285,2290,2295,2300
etree,1.468831091,1.201338049,1.025657164,0.885110055,0.959883081,0.889466167,0.837887468,0.786308769,0.68846664,0.590624512,0.363660524,0.136696535,-0.141767412,-0.42023136,-0.511824075,-0.603416789,-0.765263401,-0.927110013,-1.052610181,-1.17811035,-1.244007736,-1.309905122,-1.178914609,-1.047924097,-0.916933585,-0.785943073,-0.654952561,-0.523962049,-0.392971536,-0.261981024,-0.130990512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
population,7405,7779.503793,8130.518733,8449.380954,8736.232792,8989.149996,9205.174614,9379.99854,9510.728417,9599.014727,9650.935292,9670.538549,9658.911075,9617.351255,9548.8769,9458.723414,9351.491399,9230.443283,9120.710772,9021.34876,8931.503562,8850.403863,8777.352867,8711.721501,8652.942533,8600.505478,8553.952202,8512.873125,8476.903958,8445.722901,8419.048252,8396.636385,8378.280037,8363.806899,8353.078457,8345.98907,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273,8342.465273
Ygross,73.8,87.62136091,103.3777667,119.1927389,134.7117718,150.6311598,166.9113877,183.1938278,199.9648186,218.0197404,237.3795527,257.7511115,278.9018797,301.1448785,324.2918416,348.5213443,373.8682088,400.1373407,428.8694282,460.2540626,494.4843857,531.7543641,572.2555395,616.1732442,663.6822901,714.942156,770.0917224,829.2436271,892.4783392,959.8380789,1031.320735,1106.873954,1186.389609,1269.698844,1356.567944,1446.695238,1539.709264,1635.168404,1732.431708,1830.966893,1930.180968,2029.424028,2127.99456,2225.146287,2320.09651,2412.035867,2500.139385,2583.578634,2661.534761,2733.212126,2797.852233,2854.747613,2903.255306,2942.809572,2972.933474,2993.248994,3003.485363,3003.485363
Eind,35.558566,36.614541,38.20585248,39.797164,40.55555101,41.31393801,41.73194201,42.14994601,41.574009,40.99807199,38.91096099,36.82384999,33.224547,29.625244,24.8266115,20.027979,16.9715515,13.915124,11.59500671,9.802724048,7.654958751,6.644950264,5.339715385,4.755575066,3.93073553,3.588953819,3.050069726,2.852986759,2.492027534,2.386396221,2.141710824,2.09832942,1.93430754,1.937789546,1.834319733,1.877988171,1.825053593,1.908636613,1.903301477,2.005607329,1.999923669,2.096211443,2.090193457,2.178842967,2.172510861,2.251950719,2.245330732,2.314088278,2.307212523,2.363963701,2.356869801,2.40048662,2.393217149,2.422810273,2.415411992,2.430366129,2.422889062,2.422889062
other_gases_forcing,0.74925,0.877477,0.886752,0.888002,0.9197,0.942345,0.96088,0.974719,0.965472,0.954067,0.92886,0.906779,0.885233,0.86282,0.851674,0.843604,0.831825,0.820638,0.812559,0.802756,0.791827,0.780132,0.7679,0.755281,0.742377,0.729254,0.71596,0.702526,0.688979,0.675337,0.661612,0.647815,0.633954,0.620037,0.606067,0.59205,0.577988,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883,0.563883
