; RCP 26 emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; http://tntcat.iiasa.ac.at:8787/RcpDb/dsd?Action=htmlpage&page=download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;UNITS:,GtC/yr,GtC/yr,MtCH4/yr,MtN2O-N/yr,MtS/yr,Gg/yr,MtCO/yr,Mt/yr,MtN/yr,Mt/yr,Mt/yr,MtN/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr
Date,ffi_emissions,luc_emissions,CH4_emissions,N2O_emissions,SOx,SO2_emissions,CO_emissions,NMVOC_emissions,NOX_emissions,BC_emissions,OC_emissions,NH3,CF4_emissions,C2F6_emissions,C6F14,HFC23_emissions,HFC32_emissions,HFC4310_emissions,HFC125_emissions,HFC134a_emissions,HFC143a_emissions,HFC227ea_emissions,HFC245fa_emissions,SF6_emissions,CFC11_emissions,CFC12_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CCl4_emissions,CH3CCl3_emissions,HCFC22_emissions,HCFC141b_emissions,HCFC142b_emissions,halon1211_emissions,HALON1202,halon1301_emissions,halon2402_emissions,CH3Br_emissions,CH3Cl_emissions
1780,0.004105909,0.097408883,23.24616665,0.095993828,1.274797709,1274.797709,361.6140422,61.61859566,3.871147964,2.189267588,16.0183808,6.233647511,0.010071225,0,0,0,0.000091,0,0,0,0,0.00000192,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.98817,4270.511
1781,0.004593545,0.099200926,23.24965548,0.097807369,1.277536252,1277.536252,360.0900539,61.19330647,3.920723923,2.1894412,15.80695227,6.181233349,0.010071225,0,0,0,0.0000952,0,0,0,0,0.00000196,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.04236,4273.3596
1782,0.004594636,0.101025937,23.34175812,0.099655171,1.261050876,1261.050876,356.0465546,60.48572145,3.793838185,2.160522701,15.71282083,6.192633002,0.010071225,0,0,0,0.0000992,0,0,0,0,0.000002,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.03125,4272.7759
1783,0.004596545,0.102884523,23.37991679,0.101537883,1.258691216,1258.691216,354.2869243,60.10171272,3.788738178,2.15072559,15.60726047,6.173367755,0.010071225,0,0,0,0.000103,0,0,0,0,0.00000203,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.0436,4273.4248
1784,0.004597636,0.104777302,23.2940423,0.103456163,1.241091384,1241.091384,350.5694963,59.21225989,3.835360348,2.140542212,15.22814126,6.078599389,0.010071225,0,0,0,0.000107,0,0,0,0,0.00000207,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.05531,4274.0405
1785,0.004600636,0.106704903,23.80210554,0.105410684,1.26656815,1266.56815,356.8051254,60.49447936,3.821649192,2.165839691,15.73271148,6.207890149,0.010071225,0,0,0,0.000111,0,0,0,0,0.0000021,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.02817,4272.6136
1786,0.005223273,0.108667966,23.831995,0.107402131,1.263905903,1263.905903,354.2058773,59.91468241,3.826316215,2.158683485,15.46715712,6.169128209,0.010071225,0,0,0,0.000115,0,0,0,0,0.00000214,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.02684,4272.5442
1787,0.005225182,0.110667143,24.17652818,0.1094312,1.281331419,1281.331419,358.7933683,60.75335708,3.885107996,2.185179294,15.71033146,6.221906328,0.010071225,0,0,0,0.000119,0,0,0,0,0.00000218,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.03415,4272.9283
1788,0.005226273,0.1127031,24.85592892,0.111498603,1.326080725,1326.080725,371.3570923,63.12433047,4.038519355,2.255223484,16.34335434,6.366652139,0.010071225,0,0,0,0.000123,0,0,0,0,0.00000221,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.9922,4270.7227
1789,0.005228182,0.114776512,24.71707284,0.113605064,1.300935055,1300.935055,363.4416446,61.63229238,3.911091424,2.207664632,16.00040861,6.311131024,0.010071225,0,0,0,0.000128,0,0,0,0,0.00000225,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.0242,4272.405
1790,0.005230091,0.116888069,24.94220857,0.115751321,1.304800481,1304.800481,364.8802164,61.84599181,3.937203207,2.216436996,16.05674391,6.324915364,0.010071225,0,0,0,0.000132,0,0,0,0,0.00000228,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.99139,4270.6805
1791,0.005841818,0.119038473,24.77843217,0.117938125,1.284768804,1284.768804,356.6583862,60.2187392,3.848117366,2.172583556,15.61644988,6.223365271,0.010071225,0,0,0,0.000136,0,0,0,0,0.00000232,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.02128,4272.2515
1792,0.005971636,0.121228438,24.81889294,0.120166243,1.279936623,1279.936623,354.2515376,59.70568574,3.852168551,2.161650793,15.44666919,6.175774743,0.010071225,0,0,0,0.00014,0,0,0,0,0.00000236,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.04466,4273.4807
1793,0.005976545,0.123458692,25.03153141,0.122436456,1.276675891,1276.675891,353.3723093,59.5849395,3.798134648,2.153273834,15.47797954,6.19139355,0.010071225,0,0,0,0.000144,0,0,0,0,0.00000239,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.02605,4272.5025
1794,0.005967545,0.125729977,25.76753778,0.124749558,1.323391544,1323.391544,365.721914,62.03822453,3.901984421,2.213843116,16.16525997,6.367147287,0.010071225,0,0,0,0.000148,0,0,0,0,0.00000243,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.98417,4270.301
1795,0.005970545,0.128043046,25.77334281,0.127106359,1.307117791,1307.117791,362.1921227,61.24273214,3.919106621,2.202692273,15.88313195,6.280374653,0.010071225,0,0,0,0.000152,0,0,0,0,0.00000246,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.01093,4271.7076
1796,0.006259364,0.13039867,25.74058407,0.129507686,1.286414837,1286.414837,354.4783029,59.86424243,3.749609514,2.153154616,15.6283698,6.243887256,0.010071225,0,0,0,0.000156,0,0,0,0,0.0000025,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,104.99978,4271.1214
1797,0.006571091,0.132797629,26.23006226,0.131954379,1.3221792,1322.1792,363.5482372,61.47137695,3.940974102,2.213475036,15.93865305,6.288719773,0.010071225,0,0,0,0.00016,0,0,0,0,0.00000254,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.01623,4271.986
1798,0.006844091,0.135240723,26.54644012,0.134447296,1.344494311,1344.494311,367.6501028,62.19763903,4.015700361,2.234056283,16.12667274,6.317308707,0.010070485,0,0,0,0.000164,0,0,0,0,0.00000257,0,0,0,0,0,0,0,0.024856862,0,0,0,0,0.004446573,0,0,0,105.0081,4271.559
