model,scenario,region,variable,unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_50,R10REST_ASIA,Final Energy,EJ/yr,18.01722527,21.30193832,25.22995784,NA,31.46865383,NA,37.29553176,NA,38.9541146,NA,41.61488176,NA,45.5169116,NA,49.20755712,NA,52.64941029,NA,55.82856733,NA,58.38763126
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,R10AFRICA,Final Energy,EJ/yr,10.14464613,11.23800334,16.77224395,NA,21.08637964,NA,27.53237031,NA,34.36970156,NA,44.21634235,NA,56.78672138,NA,71.67503991,NA,91.20448984,NA,115.2431477,NA,144.7015744
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,R10CHINA+,Final Energy,EJ/yr,34.26728786,47.91249366,66.65795779,NA,87.43161057,NA,102.897423,NA,107.3677416,NA,106.032956,NA,102.651563,NA,100.0253975,NA,96.65017412,NA,91.76982927,NA,87.22991685
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,R10EUROPE,Final Energy,EJ/yr,55.25202039,59.41518102,58.48178485,NA,64.00850257,NA,63.8065349,NA,63.12520671,NA,61.73114103,NA,63.35502273,NA,65.49634354,NA,68.01690831,NA,70.67491369,NA,73.82944391
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,R10INDIA+,Final Energy,EJ/yr,18.13708586,21.30011916,25.93375449,NA,35.20873814,NA,48.89109109,NA,64.40495153,NA,74.06094141,NA,85.12045098,NA,99.90166005,NA,115.3073452,NA,133.2023639,NA,151.0244277
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,R10LATIN_AM,Final Energy,EJ/yr,18.59390051,20.60340017,24.28011873,NA,30.47574491,NA,36.18523998,NA,41.35293384,NA,42.63765244,NA,46.21224978,NA,52.17759741,NA,56.30644394,NA,62.93613114,NA,67.64070665
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,R10MIDDLE_EAST,Final Energy,EJ/yr,13.73600754,17.66923491,22.86609216,NA,30.61237989,NA,39.95061093,NA,49.24191639,NA,54.11216193,NA,61.10757769,NA,68.68391458,NA,75.46814342,NA,80.33109078,NA,87.06762131
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,R10NORTH_AM,Final Energy,EJ/yr,72.2755001,74.31337595,71.14406966,NA,76.19344945,NA,82.74695011,NA,86.67749576,NA,80.36063974,NA,77.52076774,NA,77.28300449,NA,79.40226381,NA,80.80010316,NA,82.15505316
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,R10PAC_OECD,Final Energy,EJ/yr,17.90237941,18.17999554,17.72024398,NA,19.12384057,NA,19.8312136,NA,20.00567143,NA,18.17759809,NA,17.32002547,NA,17.29509804,NA,17.25525846,NA,17.05525943,NA,16.8244225
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,R10REF_ECON,Final Energy,EJ/yr,23.65846602,24.82187948,26.01172312,NA,29.45044989,NA,29.65373025,NA,30.6404455,NA,28.2274927,NA,27.944959,NA,29.33779792,NA,29.76679059,NA,29.69268309,NA,29.68419507
